11:50 AM - 12 Dec 2015|RT 5SOS Justin gc|60|18
8:30 PM - 10 Dec 2015|Help spread pic twitter com eEEdQX5Cdv|445|319
1:17 PM - 12 Dec 2015|RT don't beau follow #SirLancelot|98|52
1:23 PM - 12 Dec 2015|Retweet gain follow everyone retweets follow back ever follows|1.5K|433
1:22 PM - 12 Dec 2015|next tweet ready|112|185
1:20 PM - 12 Dec 2015|Retweet bc gain tweet 2 mins|190|137
1:17 PM - 12 Dec 2015|Retweet bc gain tweet 5 minutes|210|129
1:14 PM - 12 Dec 2015|okay gain tweets starting|87|225
12:45 PM - 12 Dec 2015|Retweet want mentioned next gain tweet|11|5
6:02 PM - 9 Dec 2015|HERE'S THE VIDEO RT FOR A FOLLOW DM http youtu PjIgIhEYRVQ #RDTV|2.1K|2K
8:56 PM - 11 Dec 2015|rt 15 free follows mbf requests patient bc im|32|1
6:20 PM - 11 Dec 2015|@MIKEYGORDCLIFF happy birthday|1|5
4:43 PM - 6 Dec 2015|#beforeandafter1d Damn Thank 1D memories pic twitter com zDqAtv3Nfp|1|0
